"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"12","Augmentez votre vitesse avec le même effort
MAXV
un accessoire vélo innovateur","337","Gadgets","technology/gadgets","678","CA","Canada","1619115658","Thu, 22 Apr 2021 18:20:58 +0000","https://ksr-ugc.imgix.net/assets/033/239/553/845e172d4184b06e0ce3fe36dbf204c0_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1619122586&auto=format&frame=1&q=92&s=2531660d4194fc124ef473a8a196998d","600470324","Jean Bellemare","https://www.kickstarter.com/profile/jeanbellemare","CAD","$","true","USD","1631199174","Augmentez votre vitesse avec le même effort
MAXV
un accessoire vélo innovateur","false","0.78291676","5000","1049510915","true","1628607174","Tue, 10 Aug 2021 14:52:54 +0000","https://www.kickstarter.com/projects/jeanbellemare/maxv-deflecteur-pour-velo?ref=discovery_newest","56022884","Mirabel En Haut, Canada","MAXV - Déflecteur pour Vélo",,"866.29","Tue, 10 Aug 2021 14:52:54 +0000","maxv-deflecteur-pour-velo","false","false","live","1628607176","0.7960104","MAXV - Déflecteur pour Vélo","https://www.kickstarter.com/projects/jeanbellemare/maxv-deflecteur-pour-velo?ref=discovery_newest","0.78291676","689.575849416","domestic"
"97","An innovative new cargo strap that's easy and safe to use.","337","Gadgets","technology/gadgets","4711","US","the United States","1628439109","Sun, 08 Aug 2021 16:11:49 +0000","https://ksr-ugc.imgix.net/assets/032/374/512/a6c62cc8471157a0a76bacc262974b5a_original.JPG?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1613345104&auto=format&frame=1&q=92&s=8a0109189d011fec3be6eba6bd0f1a23","360658324","Grant","https://www.kickstarter.com/profile/torkstrap","USD","$","true","USD","1632494388","An innovative new cargo strap that's easy and safe to use.","false","1","3064","1110191495","true","1628606388","Tue, 10 Aug 2021 14:39:48 +0000","https://www.kickstarter.com/projects/torkstrap/torkstraptm-load-safe-load-smart?ref=discovery_newest","2488845","Santa Clarita, CA","TorkStrap™ - Load Safe. Load Smart.",,"4711","Tue, 10 Aug 2021 14:39:48 +0000","torkstraptm-load-safe-load-smart","false","false","live","1628606389","1","TorkStrap™ - Load Safe. Load Smart.","https://www.kickstarter.com/projects/torkstrap/torkstraptm-load-safe-load-smart?ref=discovery_newest","1","4711.0","domestic"
"17","Personalized snapTAG™ minis are the solution to end ""cord conflict"" and they're magnetized to attach to any surface.","337","Gadgets","technology/gadgets","674","US","the United States","1616376119","Mon, 22 Mar 2021 01:21:59 +0000","https://ksr-ugc.imgix.net/assets/032/825/515/db8f5c07a650a35d6844abca15b1acfc_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1625933334&auto=format&frame=1&q=92&s=8350c84bc4a3cad9b2ad12a1d071b251","1575212032","LabelMyCable","https://www.kickstarter.com/profile/labelmycable","USD","$","true","USD","1631198024","Personalized snapTAG™ minis are the solution to end ""cord conflict"" and they're magnetized to attach to any surface.","false","1","10000","989003392","true","1628606024","Tue, 10 Aug 2021 14:33:44 +0000","https://www.kickstarter.com/projects/labelmycable/never-lose-a-charging-cable-again?ref=discovery_newest","2357536","Austin, TX","Never lose a charging cable again.",,"674","Tue, 10 Aug 2021 14:33:44 +0000","never-lose-a-charging-cable-again","false","false","live","1628606026","1","Never lose a charging cable again.","https://www.kickstarter.com/projects/labelmycable/never-lose-a-charging-cable-again?ref=discovery_newest","1","674.0","international"
"87","The must have flask, created to improve your everyday style.","337","Gadgets","technology/gadgets","8560","US","the United States","1614870435","Thu, 04 Mar 2021 15:07:15 +0000","https://ksr-ugc.imgix.net/assets/033/066/051/d6e962cf488d903c4bf8966313dc9742_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1618007243&auto=format&frame=1&q=92&s=10f42463e81dc400d82d13ab2590c939","947931600","Karma Flasks LLC","https://www.kickstarter.com/profile/947931600","USD","$","true","USD","1631109600","The must have flask, created to improve your everyday style.","false","1","2500","295318462","true","1628604000","Tue, 10 Aug 2021 14:00:00 +0000","https://www.kickstarter.com/projects/947931600/karma-the-luxury-in-terms-of-flasks?ref=discovery_newest","2379552","Cheyenne, WY","Karma - The luxury in terms of Flasks.",,"8560","Tue, 10 Aug 2021 14:00:00 +0000","karma-the-luxury-in-terms-of-flasks","false","false","live","1628604005","1","Karma - The luxury in terms of Flasks.","https://www.kickstarter.com/projects/947931600/karma-the-luxury-in-terms-of-flasks?ref=discovery_newest","1","8560.0","international"
"400","Tiny & Powerful, TUNNU FlossCube is the most portable water flosser without a reservoir. Perfect for use at anytime & any place.","337","Gadgets","technology/gadgets","33142","US","the United States","1626919531","Thu, 22 Jul 2021 02:05:31 +0000","https://ksr-ugc.imgix.net/assets/034/364/266/fd12cdf2bbbd70b55550a930365dd78e_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1627636921&auto=format&frame=1&q=92&s=b73e4151c2a9c8fd8ce414c5fd7245c6","580509149","Tim Liu","https://www.kickstarter.com/profile/tunnu-flosscube","USD","$","true","USD","1631192426","Tiny & Powerful, TUNNU FlossCube is the most portable water flosser without a reservoir. Perfect for use at anytime & any place.","false","1","1000","1712823194","true","1628600426","Tue, 10 Aug 2021 13:00:26 +0000","https://www.kickstarter.com/projects/tunnu-flosscube/tunnu-flosscube-turn-any-water-bottle-into-a-water-flosser?ref=discovery_newest","2442047","Los Angeles, CA","A Powerful Folding Water Flosser W/ Pocket-Sized Design",,"33142","Tue, 10 Aug 2021 13:00:26 +0000","tunnu-flosscube-turn-any-water-bottle-into-a-water-flosser","false","false","live","1628600428","1","A Powerful Folding Water Flosser W/ Pocket-Sized Design","https://www.kickstarter.com/projects/tunnu-flosscube/tunnu-flosscube-turn-any-water-bottle-into-a-water-flosser?ref=discovery_newest","1","33142.0","international"
"38","A cleverly designed attractive kitchen gadget that protects the fingers when cutting & preparing food.","28","Product Design","design/product design","721","US","the United States","1604524613","Wed, 04 Nov 2020 21:16:53 +0000","https://ksr-ugc.imgix.net/assets/034/356/538/3f7a39c42e726d9af93658ce54b0cd3d_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1627575023&auto=format&frame=1&q=92&s=a93a0145b9432582c168ced023552fa3","1450312564","Helix Design","https://www.kickstarter.com/profile/onvolifestyle","USD","$","true","USD","1631191209","A cleverly designed attractive kitchen gadget that protects the fingers when cutting & preparing food.","false","1","20000","427042480","true","1628599209","Tue, 10 Aug 2021 12:40:09 +0000","https://www.kickstarter.com/projects/onvolifestyle/onvo-lifestyle?ref=discovery_newest","2444674","Manchester, NH","Onvo Lifestyle Finger Guard",,"721","Tue, 10 Aug 2021 12:40:09 +0000","onvo-lifestyle","false","false","live","1628599212","1","Onvo Lifestyle Finger Guard","https://www.kickstarter.com/projects/onvolifestyle/onvo-lifestyle?ref=discovery_newest","1","721.0","international"
"52","dTOOR's second phone, The Cyrcle Phone 4G LTE, a smartphone with a round display that fits better in your hand, pocket, and life!","337","Gadgets","technology/gadgets","12367","US","the United States","1616012544","Wed, 17 Mar 2021 20:22:24 +0000","https://ksr-ugc.imgix.net/assets/013/387/768/8844a8b4d539042088f396bb44b9f775_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1514582934&auto=format&frame=1&q=92&s=c5324985f9842e880dc23863a9df3c3a","1662021259","dTOOR INC, SPC","https://www.kickstarter.com/profile/dtoor","USD","$","true","USD","1633767054","dTOOR's second phone, The Cyrcle Phone 4G LTE, a smartphone with a round display that fits better in your hand, pocket, and life!","false","1","10000","1197662741","true","1628583054","Tue, 10 Aug 2021 08:10:54 +0000","https://www.kickstarter.com/projects/dtoor/the-cyrcle-phone-4g?ref=discovery_newest","2490383","Seattle, WA","The Cyrcle Phone 4G",,"12367.37","Tue, 10 Aug 2021 08:10:54 +0000","the-cyrcle-phone-4g","false","false","live","1628583057","1","The Cyrcle Phone 4G","https://www.kickstarter.com/projects/dtoor/the-cyrcle-phone-4g?ref=discovery_newest","1","12367.37","international"
"1","Here's a new invention I call My Gadget Buddy, it holds two smartphones one tablet, and a laptop computer used to organize electronics.","337","Gadgets","technology/gadgets","1","US","the United States","1622924498","Sat, 05 Jun 2021 20:21:38 +0000","https://ksr-ugc.imgix.net/assets/033/785/645/df308a4929ee7fbf4d33509d88f8facd_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1622925719&auto=format&frame=1&q=92&s=e6a171ce09585306f99bb51793c34ed4","1735335615","Victor Vazquez","https://www.kickstarter.com/profile/1735335615","USD","$","true","USD","1633641900","Here's a new invention I call My Gadget Buddy, it holds two smartphones one tablet, and a laptop computer used to organize electronics.","false","1","50000","1708187928","true","1628457900","Sun, 08 Aug 2021 21:25:00 +0000","https://www.kickstarter.com/projects/1735335615/my-gadget-buddy?ref=discovery_newest","2424766","Houston, TX","My Gadget Buddy",,"1","Sun, 08 Aug 2021 21:25:00 +0000","my-gadget-buddy","false","false","live","1628457901","1","My Gadget Buddy","https://www.kickstarter.com/projects/1735335615/my-gadget-buddy?ref=discovery_newest","1","1.0","international"
"129","Designed to keep you sanitized in just seconds — this is an innovation both for traditional sanitizers and power banks.","337","Gadgets","technology/gadgets","18116","US","the United States","1625566435","Tue, 06 Jul 2021 10:13:55 +0000","https://ksr-ugc.imgix.net/assets/034/119/029/f5dca119f1048de533abea93f7fd2fbc_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1628107695&auto=format&frame=1&q=92&s=1968762ade87b3ed02ec762a674f48a3","2130271190","Flem","https://www.kickstarter.com/profile/flem","USD","$","true","USD","1630772537","Designed to keep you sanitized in just seconds — this is an innovation both for traditional sanitizers and power banks.","false","1","10000","385828897","true","1628180537","Thu, 05 Aug 2021 16:22:17 +0000","https://www.kickstarter.com/projects/flem/the-powerful-power-bank-and-portable-sterilization-system?ref=discovery_newest","2487956","San Francisco, CA","The powerful power bank and portable sterilization system",,"18116","Thu, 05 Aug 2021 16:22:17 +0000","the-powerful-power-bank-and-portable-sterilization-system","false","false","live","1628180539","1","The powerful power bank and portable sterilization system","https://www.kickstarter.com/projects/flem/the-powerful-power-bank-and-portable-sterilization-system?ref=discovery_newest","1","18116.0","international"
"1","Trurol golf ball reconditioner","337","Gadgets","technology/gadgets","1","US","the United States","1611446545","Sun, 24 Jan 2021 00:02:25 +0000","https://ksr-ugc.imgix.net/assets/032/910/586/2dea78b829ab991f1f5bca627b705d8c_original.bmp?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1616972278&auto=format&frame=1&q=92&s=01c8736f54fab9d4522ee5a1a44e13c3","2095304472","Kevin Smith","https://www.kickstarter.com/profile/2095304472","USD","$","true","USD","1630683088","Trurol golf ball reconditioner","false","1","183700","1071299655","true","1628091088","Wed, 04 Aug 2021 15:31:28 +0000","https://www.kickstarter.com/projects/2095304472/trurol?ref=discovery_newest","2464592","Oklahoma City, OK","Trurol",,"1","Wed, 04 Aug 2021 15:31:28 +0000","trurol","false","false","live","1628091089","1","Trurol","https://www.kickstarter.com/projects/2095304472/trurol?ref=discovery_newest","1","1.0","international"
"3","Amazing Metal Detector Shoes","337","Gadgets","technology/gadgets","297","SG","Singapore","1618819647","Mon, 19 Apr 2021 08:07:27 +0000","https://ksr-ugc.imgix.net/assets/033/202/935/bc7a4a483a3bd60571d3d417b4eedbaa_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1625914681&auto=format&frame=1&q=92&s=c23a3aa13521dff74bea5dc66ea7ca87","976325625","Treasure Hunter","https://www.kickstarter.com/profile/metaldetectorsandals","SGD","$","true","USD","1631978366","Amazing Metal Detector Shoes","false","0.73528601","21100","1667700766","true","1628090366","Wed, 04 Aug 2021 15:19:26 +0000","https://www.kickstarter.com/projects/metaldetectorsandals/treasure-hunter-metal-detecting-sandals?ref=discovery_newest","1062617","Singapore, Singapore","Treasure Hunter: Metal Detecting Sandals",,"404","Wed, 04 Aug 2021 15:19:26 +0000","treasure-hunter-metal-detecting-sandals","false","false","live","1628090369","0.73972485","Treasure Hunter: Metal Detecting Sandals","https://www.kickstarter.com/projects/metaldetectorsandals/treasure-hunter-metal-detecting-sandals?ref=discovery_newest","0.73528601","298.8488394","international"
"432","With Bluetooth 5.2, make any headphones/audio source wireless while enabling lossless music. Easily broadcast to unlimited devices.","337","Gadgets","technology/gadgets","47780","HK","Hong Kong","1625469812","Mon, 05 Jul 2021 07:23:32 +0000","https://ksr-ugc.imgix.net/assets/010/092/845/f1c92508a585d22b37affe41848aff4a_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461666867&auto=format&frame=1&q=92&s=6c9cd920bc04083874227e40d5f783fa","311770269","NEXUM","https://www.kickstarter.com/profile/nexumaudio","HKD","$","true","USD","1631721540","With Bluetooth 5.2, make any headphones/audio source wireless while enabling lossless music. Easily broadcast to unlimited devices.","false","0.12837951","25000","981036837","true","1628080185","Wed, 04 Aug 2021 12:29:45 +0000","https://www.kickstarter.com/projects/nexumaudio/voce-the-first-le-audio-adapter-enable-wireless-hifi-sound?ref=discovery_newest","2306179","Taipei City, Taiwan","VOCE: The First Lossless LE Audio and Broadcast Transceiver",,"372184","Wed, 04 Aug 2021 12:29:45 +0000","voce-the-first-le-audio-adapter-enable-wireless-hifi-sound","false","false","live","1628080187","0.12861108","VOCE: The First Lossless LE Audio and Broadcast Transceiver","https://www.kickstarter.com/projects/nexumaudio/voce-the-first-le-audio-adapter-enable-wireless-hifi-sound?ref=discovery_newest","0.12837951","47866.98619872","international"
"54","Complete Toothbrush Sterilization Device with Three Features, Drying, Sterilization, and Water Cup that helps save the Earth","337","Gadgets","technology/gadgets","6910","SG","Singapore","1623639010","Mon, 14 Jun 2021 02:50:10 +0000","https://ksr-ugc.imgix.net/assets/033/321/863/60ddb50c32ef71f4ee9b7d9af21dd078_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1619663304&auto=format&frame=1&q=92&s=92695bf82e16634c0457c398c77e1781","1728914916","Prime Tech","https://www.kickstarter.com/profile/cuvirang","SGD","$","true","USD","1631451649","Complete Toothbrush Sterilization Device with Three Features, Drying, Sterilization, and Water Cup that helps save the Earth","false","0.73528601","6000","327649000","true","1627995649","Tue, 03 Aug 2021 13:00:49 +0000","https://www.kickstarter.com/projects/cuvirang/cuvirang-the-right-choice-for-your-mouth?ref=discovery_newest","1062617","Singapore, Singapore","CUVIRANG, hygenic, chic & ecofriendly toothbrush solution",,"9399","Tue, 03 Aug 2021 13:00:49 +0000","cuvirang-the-right-choice-for-your-mouth","false","false","live","1627995652","0.73889624","CUVIRANG, hygenic, chic & ecofriendly toothbrush solution","https://www.kickstarter.com/projects/cuvirang/cuvirang-the-right-choice-for-your-mouth?ref=discovery_newest","0.73528601","6944.88575976","international"
